台文,台羅,中文,英文
伊跋落去山跤閣無死，真正是萬幸！,"I pua̍h lo̍h-khì suann-kha koh bô sí, tsin-tsiànn sī bān-hīng!",他跌到山腳下還沒死，真是非常幸運！,"He fell to the foot of the mountain and didn't die, he is really very lucky!"
聖拄聖，我才臆伊無欲來，伊就敲電話講欲請假矣。,"Siànn-tú-siànn, guá tsiah ioh i bô beh lâi, i tō khà tiān-uē kóng beh tshíng-ká--ah.",巧極了，我才猜他不來，他就打電話來請假了。,"Amazingly, just as I guessed he wouldn't come, he called to ask for leave."
我已經派一台車落空逝去接貨矣。,Guá í-king phài tsi̍t tâi tshia làu-khang-tsuā khì tsiap huè--ah.,我已經派一輛空車去接貨了。,I have already sent an empty car to pick up the goods.
果子欉無落肥收成袂好。,Kué-tsí-tsâng bô lo̍h-puî siu-sîng bē hó.,果樹沒施肥收成不會好。,Fruit trees without fertilization will not yield good results.
外口咧落雨，等雨停才來去。,"Guā-kháu teh lo̍h-hōo, tán hōo thîng tsiah lâi-khì.",外面在下雨，等雨停了再去。,It is raining outside. Let's wait until the rain stops before going.
落雨天嘛著出門。,Lo̍h-hōo-thinn mā tio̍h tshut-mn̂g.,雨天還是得出門。,"On a rainy day, still have to go out."
這幫是落南的快車。,Tsit pang sī lo̍h-lâm ê khuài-tshia.,這班車是要南下的快車。,This train is an express heading south.
你是食歹腹肚呢？無，哪會一直落屎？,"Lí sī tsia̍h pháinn pak-tóo--nih? Bô, ná ē it-ti̍t làu-sái?",你是吃壞肚子了嗎？不然，怎麼會一直拉肚子？,"Are you having a stomachache? Otherwise, why would you keep having diarrhea?"
伊哪會遐爾仔落屎馬，連這件代誌嘛做袂好。,"I ná ē hiah-nī-á làu-sái-bé, liân tsit kiānn tāi-tsì mā tsò bē hó.",他怎麼會這麼沒用，連這件事情都辦不好。,"How could he be so useless, he can't even handle this matter well."
阮落後日欲來去下港𨑨迌。,Guán loh-āu--ji̍t beh lâi-khì ē-káng tshit-thô.,我們大後天要去南部玩。,We are going to the southern part to play the day after tomorrow.
𪜶按算落後年欲出國留學。,In àn-sǹg loh-āu--nî beh tshut-kok liû-ha̍k.,他們打算大後年要出國留學。,They plan to study abroad in two years.
伊落昨日才對歐洲轉來。,I loh-tso̍h--ji̍t tsiah tuì Au-tsiu tńg--lâi.,他大前天才從歐洲回來。,He returned from Europe the day before yesterday.
有身的人愛細膩，才袂落胎。,"Ū-sin ê lâng ài sè-jī, tsiah bē làu-the.",懷孕的人要小心，才不會流產。,Pregnant women need to be careful so as not to have a miscarriage.
伊講話落風落風。,I kóng-uē làu-hong-làu-hong.,他牙齒脫落說話不清楚。,He speaks unclearly because his teeth have fallen out.
毋知佗一个夭壽人共我的車輪落風。,M̄ tsai tó tsi̍t ê iáu-siū lâng kā guá ê tshia-lián làu-hong.,不知哪個可惡鬼把我的輪胎洩了氣。,I don't know which devil deflated my tire.
伊這擺的表現真落氣。,I tsit pái ê piáu-hiān tsin làu-khuì.,他這次的表現很難堪。,His performance this time was very embarrassing.
伊睏落眠矣，莫共叫。,"I khùn lo̍h-bîn--ah, mài kā kiò.",他睡著了，不要叫他。,"He's asleep, don't wake him up."
睏袂落眠,khùn bē lo̍h-bîn,睡不著覺,cant sleep.
金錢毋是萬能的。,Kim-tsînn m̄ sī bān-lîng--ê.,金錢不是萬能的。,Money isn't everything.
萬能鎖匙,bān-lîng só-sî,萬能鑰匙,Master key
逐日作穡作甲腰脊骨強欲折去。,Ta̍k-ji̍t tsoh-sit tsoh kah io-tsiah-kut kiōng-beh tsi̍h--khì.,每天工作到腰骨快斷了。比喻工作很辛苦。,Working every day until my back is about to break. It is a metaphor for hard work.
伊這站仔當咧落衰，逐項代誌都做袂順。,"I tsit-tsām-á tng-teh lo̍h-sue, ta̍k hāng tāi-tsì to tsò bē sūn.",他這陣子正倒楣，每件事都做不順。,"He's been having a streak of bad luck lately, everything he does goes wrong."
遮的路真滑，你落崎愛較細膩咧。,"Tsia ê lōo tsin ku̍t, lí lo̍h-kiā ài khah sè-jī--leh.",這裡的路很滑，你下坡要小心一點。,"The road here is slippery, be careful when going downhill."
伊今年傷放蕩，予先生共伊落第。,"I kin-nî siunn hòng-tōng, hōo sian-sinn kā i lo̍k-tē.",他今年太愛玩，被老師留級。,He loves to play too much this year and was held back by the teacher.
伊這擺大學考試落第，明年仔愛重考。,"I tsit pái tāi-ha̍k khó-tshì lo̍k-tē, mê-nî-á ài tîng khó.",他這次大學沒考上，明年必須重考。,He didn't get into college this time and must retake the exam next year.
船到碼頭，逐家攏準備欲落船。,"Tsûn kàu bé-thâu, ta̍k-ke lóng tsún-pī beh lo̍h-tsûn.",船到碼頭，大家都準備要下船。,"When the ship arrives at the pier, everyone gets ready to disembark."
船欲開矣，緊落船！,"Tsûn beh khui--ah, kín lo̍h-tsûn!",船要開了，快上船！,"The ship is about to depart, hurry and get on board!"
伊已經落軟矣，你就原諒伊。,"I í-king lo̍h-nńg--ah, lí tō guân-liōng--i.",他已經軟化了，你就原諒他。,"He has already softened, so forgive him."
臺灣較懸的山頂寒天會落雪。,Tâi-uân khah kuân ê suann-tíng kuânn-thinn ē lo̍h-seh.,臺灣比較高的山頂冬天會下雪。,The higher peaks in Taiwan will snow during winter.
遮厚的酒真歹落喉。,Tsiah kāu ê tsiú tsin pháinn lo̍h-âu.,這麼濃的酒很難入喉。,This strong liquor is hard to swallow.
我去清田溝，無細膩煞落湳。,"Guá khì tshing tshân-kau, bô-sè-jī suah lo̍h-làm.",我去清理田邊的水溝，不小心卻掉到爛泥巴中。,"I went to clean the ditch by the field, but accidentally fell into the muddy water."
龜𤆬鱉落湳。,Ku tshuā pih lo̍h-làm.,形容被損友帶去做壞事而無法自拔。,Describes being led by a bad friend to do wrong things and unable to extricate oneself.
你照我的話做，保證你萬無一失。,"Lí tsiàu guá ê uē tsò, pó-tsìng lí bān-bû-it-sit.",你照我的話去做，保證不會出差錯。,"If you do as I say, you will definitely not make any mistakes."
我看伊的腦筋無啥清楚，莫問伊較好。,"Guá khuànn i ê náu-kin bô siánn tshing-tshó, mài mn̄g--i khah hó.",我看他頭腦不太清楚，別問他比較好。,"I see that his mind is not very clear, it's better not to ask him."
伊車禍去挵著頭，傷著腦筋。,"I tshia-hō khì lòng-tio̍h thâu, siong-tio̍h náu-kin.",他出車禍去撞到頭部，傷到了腦神經。,"He had a car accident and hit his head, injuring his nerves."
伊落跑矣。,I làu-phâu--ah.,他開溜了。,He slipped away.
伊萬項代誌攏愛人鬥相共。,I bān-hāng tāi-tsì lóng ài lâng tàu-sann-kāng.,他每件事都要別人幫忙。,He needs help with everything.
雞屎落塗，也有三寸煙。,"Ke-sái lo̍h-thôo, iā ū sann tshùn ian.",雞屎掉在地上也會上騰三寸高的水汽。比喻最低等的動物也有自尊心。,Even chicken droppings can produce steam that rises three inches high when it falls on the ground. It is a metaphor that even the lowest animals have self-esteem.
落塗時，八字命。,"Lo̍h-thôo sî, peh-jī miā.",每個人命運的好壞，在出生時就已確定。民間以此諺表示一生的成敗禍福不可強求。,The good or bad of everyone's destiny is determined at birth. Folklore uses this saying to indicate that success or failure in life cannot be forced.
伊軟跤，無法度落塗行路。,"I nńg-kha, bô-huat-tōo lo̍h-thôo kiânn-lōo.",他腿軟，沒辨法著地行走。,He has weak legs and can't walk on the ground.
萬萬不可,bān-bān put-khó,絕對不可以,Absolutely not.
你的褲敢是刁工穿甲落落的？,Lí ê khòo kám-sī thiau-kang tshīng kah làu-làu--ê?,你的褲子是故意穿得快掉下來的樣子嗎？,Is your pants intentionally worn to the point of falling down?
阿福伯的喪事是午時弔祭，申時落葬。,"A-hok peh ê song-sū sī ngóo-sî tiàu-tsè, sin-sî lo̍h-tsòng.",阿福伯的喪事是在午時弔念祭拜，申時安葬。,"The funeral of Uncle Afu was mourned and worshipped at noon, and buried at 3pm."
這馬景氣䆀，物件攏咧落價。,"Tsit-má kíng-khì bái, mi̍h-kiānn lóng teh lo̍h-kè.",現在景氣不好，東西都在降價。,"The current economy is not good, and everything is being discounted."
好腳數,hó kioh-siàu,好角色,Good character
伊腳數袂䆀，有代誌攏伊咧出頭。,"I kioh-siàu bē-bái, ū tāi-tsì lóng i teh tshut-thâu.",他膽識不錯，有事情都是他出面解決。,"His courage and insight are good, and he always steps forward to solve problems."
伊彼站仔是上落魄的時陣。,I hit-tsām-á sī siōng lo̍k-phik ê sî-tsūn.,那陣子是他最失意的時候。,"During that time, it was his most disheartened moment."
伊這屆落選。,I tsit kài lo̍k-suán.,他這屆的選舉失利。,He lost the election this time.
我聽你咧腫頷。,Guá thiann lí teh tsíng-ām.,我聽你在胡扯。,I hear you talking nonsense.
代誌舞甲按呢，這聲腫頷矣！,"Tāi-tsì bú kah án-ne, tsit-siann tsíng-ām--ah!",事情搞成這樣，這下糟糕了！,"Things have become like this, now it's terrible!"
敢是有人客欲來？下暗哪會煮甲遮爾仔腥臊？,Kám-sī ū lâng-kheh beh lâi? E-àm ná ē tsú kah tsiah-nī-á tshenn-tshau?,難道是有客人要來？晚上怎麼煮得這麼豐盛？,Is there a guest coming? How did you cook so abundantly at night?
今仔日真落臉。,Kin-á-ji̍t tsin lak-lián.,今天真丟臉。,Today is really embarrassing.
伊當咧落難，真需要人鬥相共。,"I tng-teh lo̍h-lān, tsin su-iàu lâng tàu-sann-kāng.",他正在落難，很需要別人的幫忙。,He is in distress and really needs someone's help.
竹葉,tik-hio̍h,竹葉,bamboo leaves
樹葉,tshiū-hio̍h,樹葉,leaves
挽一葉薄荷,bán tsi̍t hio̍h po̍k-hô,摘一片薄荷,Pick a piece of mint.
一葩電火,tsi̍t pha tiān-hué,一盞電燈,a light bulb
一葩花,tsi̍t pha hue,一葩花,a flower blossom
兩葩葡萄,nn̄g pha phû-tô,兩串葡萄,Two bunches of grapes.
火葬,hué-tsòng,火葬,cremation.
根蒂,kin-tì,根蒂,root
肚臍蒂,tōo-tsâi-tì,肚臍蒂,navel stump.
號名,hō-miâ,取名字,Choosing a name
你是第幾號？,Lí sī tē kuí hō?,你是第幾號？,What number are you?
記號,kì-hō,記號,symbol.
店號,tiàm-hō,店名,store name
這个囡仔號名未？,Tsit ê gín-á hō-miâ--buē?,這個小孩命名了沒？,Has this child been named?
這馬真少人用葵扇咧擛風矣。,Tsit-má tsin tsió lâng iōng khue-sìnn teh ia̍t-hong--ah.,現在很少人用扇子來搧風了。,Now few people use fans to fan the wind.
我袂記得伊號做啥物名。,Guá bē-kì-tit i hō-tsò siánn-mih miâ.,我忘記他叫做什麼名字。,I forgot what his name is.
拗裒,áu-pôo,褶邊,hem.
拗一裒,áu tsi̍t pôo,褶一個褶邊,Fold one edge.
棉裘,mî-hiû,棉襖,cotton-padded jacket.
伊今仔日穿裙。,I kin-á-ji̍t tshīng kûn.,他今天穿裙子。,He is wearing a skirt today.
補喙齒,póo tshuì-khí,補牙,Fill teeth or Dental filling
補衫,póo sann,補衣服,Add clothes.
補貨,póo huè,補貨,Restock
補身體,póo sin-thé,補身體,nourish the body
將功補罪,tsiong kong póo tsuē,將功補罪,to make amends for past mistakes through good deeds.
伊共餅裝入去盒仔底。,I kā piánn tsng ji̍p-khì a̍p-á-té.,他把餅乾裝進去盒子裡頭。,He put the cookies into the box.
裝痟的,tsng-siáu--ê,當成瘋子，多用在罵別人耍了自己。,"Considered crazy, is often used to curse others for playing themselves."
西裝,se-tsong,西裝,suit
洋裝,iûnn-tsong,洋裝,dress.
內裡,lāi-lí,內裡,Inside
伊佇厝裡無出門。,I tī tshù--lí bô tshut-mn̂g.,他在家裡沒出門。,He didn't go out at home.
田裡,tshân--lí,田裡,in the field
食酒解憂愁。,Tsia̍h tsiú kái iu-tshiû.,喝酒澆愁。,Drink alcohol to drown your sorrows.
解說,kái-sueh,解釋,explanation.
試車,tshì tshia,試車,Test drive
你會當試看覓。,Lí ē-tàng tshì-khuànn-māi.,你可以試試看。,You can give it a try.
消災解厄,siau-tsai-kái-eh,消除災厄,Eliminate disaster.
今仔日是補冬，菜市仔足濟人咧買番鴨。,"Kin-á-ji̍t sī póo-tang, tshài-tshī-á tsiok tsē lâng teh bé huan-ah.",今天是冬令進補，市場有很多人在買番鴨。,"Today is the winter supplement season, and there are many people buying duck in the market."
伊不時提錢補助散赤的學生。,I put-sî the̍h tsînn póo-tsōo sàn-tshiah ê ha̍k-sing.,他常常拿錢補助貧窮的學生。,He often gives money to support poor students.
簾簷跤有一个蜂岫，愛想辦法共挽掉。,"Nî-tsînn-kha ū tsi̍t ê phang-siū, ài siūnn pān-huat kā bán-tiāu.",屋簷下有個蜂窩，要想辦法摘除。,"Under the eaves, there is a beehive that needs to be removed."
我試看揣伊會著袂？,Guá tshì-khuànn tshuē i ē tio̍h--bē?,我試試看能不能找到他？,Can I try to find him?
無試看覓哪會知。,Bô tshì-khuànn-māi ná ē tsai.,不試試看怎麼會曉得。,"If you don't try, how will you know?"
詭計多端,kuí-kè to-tuan,指狡詐的計謀很多,There are many cunning schemes.
我已經泡一杯厚茶欲予你解酒。,Guá í-king phàu tsi̍t pue kāu tê beh hōo lí kái-tsiú.,我已經泡一杯濃茶來給你解酒。,I have brewed a strong cup of tea for you to cure your hangover.
愛來去賣場補添一寡日用品！,Ài lâi-khì bē-tiûnn póo-thiam tsi̍t-kuá ji̍t-iōng-phín!,要去賣場添購一些日用品！,I need to go to the store to buy some daily necessities!
伊佇咧補紩彼領裙。,I tī teh póo-thīnn hit niá kûn.,他在縫補那件裙子。,He is mending that skirt.
我逐工攏愛去補習。,Guá ta̍k-kang lóng ài khì póo-si̍p.,我每天都要去補習。,I have to go for extra lessons every day.
聽歌解悶,thiann kua kái-būn,聽歌解悶,Listening to music to relieve boredom.
公司解散。,Kong-si kái-sàn.,公司停業。,The company has closed down.
你莫共我裝痟的。,Lí mài kā guá tsng-siáu--ê.,你不要把我當瘋子一樣耍弄。,Don't treat me like a crazy person.
這題的解答佇後面。,Tsit tê ê kái-tap tī āu-bīn.,這題的答案在後面。,The answer to this question is at the back.
啉酒解愁,lim tsiú kái-tshiû,喝酒消除憂愁,Drinking alcohol eliminates worries.
小可仔代誌莫一直詬詬唸。,Sió-khuá-á tāi-tsì mài it-ti̍t kāu-kāu-liām.,一些小事而已不要一直嘮嘮叨叨。,"Just some small things, don't keep nagging about it."
老師咧共學生囡仔解說這層歷史事件。,Lāu-su teh kā ha̍k-sing gín-á kái-sueh tsit tsân li̍k-sú sū-kiānn.,老師跟學生們解釋這件歷史事件。,The teacher explained this historical event to the students.
這間厝裝潢了袂䆀。,Tsit king tshù tsong-hông liáu bē-bái.,這間房子裝潢得不錯。,This house is decorated nicely.
伊煮菜攏無咧試鹹汫。,I tsú tshài lóng bô teh tshì kiâm-tsiánn.,他煮菜都沒有在試味道。,He doesn't taste the food when he cooks.
話帶骨,uē tuà kut,言語中帶諷刺,carrying sarcasm in ones words
這件代誌是你該做的。,Tsit kiānn tāi-tsì sī lí kai tsò--ê.,這件事情是你該做的。,This is something you should do.
我已經足見笑矣，你莫閣詼矣啦！,"Guá í-king tsiok kiàn-siàu--ah, lí mài koh khue--ah--lah!",我已經很丟臉了，你不要再嘲笑我了啦！,"I am already very embarrassed, don't laugh at me anymore!"
