中文,台文,台羅,白話字
可以提供給國小、國中學生閱讀，,提供予國小、國中學生通讀，,"thê-kiong hōo kok-sió, kok-tiong ha̍k-sing thang tha̍k,","thê-kiong hō͘ kok-sió,kok-tiong ha̍k-seng thang tha̍k,"
做生意就是要賺錢，,做生理就是欲趁錢，,"tsò-sing-lí tō sī beh thàn-tsînn,","chò-seng-lí tō sī beh thàn-chîⁿ,"
興致勃勃的，,興tshuh-tshuh，,"hìng-tshuh-tshuh,","hèng-chhuh-chhuh,"
那晚，要睡的時候，,彼暝，欲睏的時，,"hit mê, beh khùn ê sî,","hit mê,beh khùn ê sî,"
耳朵裝助聽器。,耳仔鬥助聽器。,hīnn-á tàu tsōo-thiann-khì.,hīⁿ-á tàu chō͘-thiaⁿ-khì.
族人泛靈信仰敬最高層的祖靈Alid，,族人泛靈信仰敬上高層的祖靈Alid，,"tso̍k-jîn huàn lîng sìn-ióng kìng-siōng ko-tsân ê tsóo-lîng Alid,","cho̍k-jîn hoàn lêng sìn-ióng kèng-siōng ko-chân ê chó͘-lêng Alid,"
蔣經國是「票房毒藥」，,蔣經國是「票房毒藥」，,"Tsiúnn King-kok sī “phiò-pâng to̍k-io̍h”,","Chiúⁿ Keng-kok sī“phiò-pâng to̍k-io̍h”,"
你要配甜點嗎？,你欲配甜料無？,lí beh phuè tinn-liāu--bô?,lí beh phòe tiⁿ-liāu--bô?
小的時候，,細漢的時，,"sè-hàn ê sî,","sè-hàn ê sî,"
慢慢的推廣，,慢慢仔推廣，,"bān-bān-á thui-kóng,","bān-bān-á thui-kóng,"
當台灣還像三零年代在爭論台語要怎麼寫成漢字的時候，,當台灣猶親像三空年代咧爭論台語欲按怎寫做漢字的時，,"tng Tâi-uân iáu tshin-tshiūnn sam khòng nî-tāi teh tsing-lūn Tâi-gí beh án-tsuánn siá tsò hàn-jī ê sî,","tng Tâi-oân iáu chhin-chhiūⁿ sam khòng nî-tāi teh cheng-lūn Tâi-gí beh án-chóaⁿ siá chò hàn-jī ê sî,"
「這樣的話，明天開始，,「若按呢，明仔載起，,"“Nā án-ne, bîn-á-tsài khí,","“Nā án-ne,bîn-á-chài khí,"
又訂了兩套顏色相近的大紅色，,閣共訂兩套欲倚色的大紅，,"koh kā tīng nn̄g thò beh uá sik ê tuā-âng,","koh kā tēng nn̄g thò beh óa sek ê tōa-âng,"
嘿嘿...那我要點梅山的金萱茶，,嘿嘿...按呢我欲點梅山的金萱茶，,"Heh heh... án-ne guá beh tiám Muî-san ê kim-suan-tê,","Heh heh...án-ne góa beh tiám Mûi-san ê kim-soan-tê,"
去台北市參觀、遊玩，,去台北市參觀、𨑨迌，,"khì Tâi-pak-tshī tsham-kuan, tshit-thô,","khì Tâi-pak-chhī chham-koan,chhit-thô,"
都會被他們嘲笑，,攏都會予𪜶恥笑，,"lóng ē hōo in thí-tshiò,","lóng ē hō͘ in thí-chhiò,"
啊，這時忽然想起,啊，這時煞雄雄想起,"Ah, tsit-sî suah hiông-hiông siūnn-khí","Ah,chit-sî soah hiông-hiông siūⁿ-khí"
小的時候，,細漢的時，,"sè-hàn ê sî,","sè-hàn ê sî,"
雖然我沒有特別的宗教，,雖然我無特別的宗教，,"sui-jiân guá bô ti̍k-pia̍t ê tsong-kàu,","sui-jiân góa bô te̍k-pia̍t ê chong-kàu,"
和遮陽用的牽藤高木架。,和閘日用的牽藤懸柴架。,hām tsa̍h-ji̍t īng--ê khan-tîn kuân tshâ-kè.,hām cha̍h-ji̍t ēng--ê khan-tîn koân chhâ-kè.
看了，你就知道，,看，你就知，,"khuànn, lí tō tsai,","khòaⁿ,lí tō chai,"
本來以為最難搭配的大紅色刺繡金蔥，,本成掠做上歹配的大紅繡金蔥，,"pún-tsiânn lia̍h-tsò siōng pháinn phuè ê tuā-âng siù kim-tshang,","pún-chiâⁿ lia̍h-chò siōng pháiⁿ phòe ê tōa-âng siù kim-chhang,"
十分鐘內乾淨俐落。,十分鐘內好勢溜溜。,tsa̍p hun-tsing lāi hó-sè-liu-liu.,cha̍p hun-cheng lāi hó-sè-liu-liu.
這篇是對《開墾、播種、繁殖─李江却台語文教基金會十五周年特刊》抓出來的。）,這篇是對《開墾、掖種、生湠─李江却台語文教基金會十五周年特刊》掠出來的。）,"tsit phinn sī uì “khai-khún, iā-tsíng, senn-thuànn ─ Lí Kang Khiok Tâi-gí bûn-kàu ki-kim-huē tsa̍p-gōo tsiu-nî ti̍k khan” lia̍h--tshut-lâi--ê. )","chit phiⁿ sī ùi“khai-khún,iā-chéng,seⁿ-thòaⁿ─Lí Kang Khiok Tâi-gí bûn-kàu ki-kim-hōe cha̍p-gō͘ chiu-nî te̍k khan”lia̍h--chhut-lâi--ê.)"
形成風氣，,形成風氣，,"hîng-sîng hong-khì,","hêng-sêng hong-khì,"
很快就和他有說有笑。,真緊就會佮伊有講有笑。,tsin kín tō ē kah i ū kóng ū tshiò.,chin kín tō ē kah i ū kóng ū chhiò.
認真研究臺語文，,認真研究臺語文，,"jīn-tsin gián-kiù Tâi-gí-bûn,","jīn-chin gián-kiù Tâi-gí-bûn,"
果然是土包子。）,庄跤倯都著。）,tsng-kha-sông to tio̍h. ),chng-kha-sông to tio̍h.)
現在對台北小孩還是那麼好奇，,這馬對台北囡仔猶是遐好奇，,"tsit-ma tuì Tâi-pak gín-á ia̍h-sī tsiah hó-kî,","chit-ma tùi Tâi-pak gín-á ia̍h-sī chiah hó-kî,"
我要一塊巧克力鬆餅。,我欲愛一塊tsioo-kóo-lè-tòo的格仔餅。,guá berh ài tsi̍t tèr  tsioo-kóo-lè-tòo ê keh-á-piánn.,góa berh ài chi̍t tèr chio͘-kó͘-lè-tò͘ ê keh-á-piáⁿ.
作者：林漢森,作者：林漢森,tsok-tsiá: Lîm Hàn-sim,chok-chiá:Lîm Hàn-sim
第二個蔣總統登基，,第二个蔣總統登基，,"terē-jī ê Tsiúnn tsóng-thóng ting-ki,","tērē-jī ê Chiúⁿ chóng-thóng teng-ki,"
也要呼籲更多年輕人攻讀言語學博士，,嘛愛拜託較濟少年人讀言語學博士，,"Mā ài pài-thok khah tsuē siàu-liân-lâng tha̍k giân-gír-ha̍k phok-sū,","Mā ài pài-thok khah chōe siàu-liân-lâng tha̍k giân-gír-ha̍k phok-sū,"
請幫我轉分機三三四,請幫我轉分機三三四,tshiánn pang guá tsuán hun-ki sam sam sù,chhiáⁿ pang góa choán hun-ki sam sam sù
當初爸爸這麼說，,當初爸爸按呢講，,"tong-tshoo pa-pa án-ne kóng,","tong-chho͘ pa-pa án-ne kóng,"
起先是大同國小邀請三潭國小的學生，,代先是大同國小邀請三潭國小的學生，,"tāi-sing sī Tāi-tông kok-sió iau-tshiánn Sam-thâm kok-sió ê ha̍k-sing,","tāi-seng sī Tāi-tông kok-sió iau-chhiáⁿ Sam-thâm kok-sió ê ha̍k-seng,"
國民黨腦子燒壞了嗎？,國民黨是咧頭殼歹去是毋？,Kok-bîn-tóng sī teh thâu-khak pháinn--khì sī--m̄?,Kok-bîn-tóng sī teh thâu-khak pháiⁿ--khì sī--m̄?
做生意就是要有競爭，,做生理就是愛有競爭，,"tsò-sing-lí tō sī ài ū kīng-tsing,","chò-seng-lí tō sī ài ū kēng-cheng,"
我們以台灣的主體性思考，,阮以台灣的主體性思考，,"gún í Tâi-uân ê tsú-thé-sìng su-khó,","gún í Tâi-oân ê chú-thé-sèng su-khó,"
只等候孩子們去撿柴燒火，,干焦聽候囡仔抾柴燃火，,"kan-tann thiann-hāu gín-á khioh-tshâ hiânn-hué,","kan-taⁿ thiaⁿ-hāu gín-á khioh-chhâ hiâⁿ-hóe,"
我想要喝茶。,我想欲啉茶。,Guá siūnn beh lim tê.,Góa siūⁿ beh lim tê.
緊抓著錢包，,共錢袋仔捏牢牢，,"kā tsînn-tē-á tēnn-tiâu-tiâu,","kā chîⁿ-tē-á tēⁿ-tiâu-tiâu,"
停頓幾秒鐘才走向前，,頓蹬幾秒鐘才踏進前，,"tùn-tenn kuí bió-tsing tsiah ta̍h tsìn-tsîng,","tùn-teⁿ kúi bió-cheng chiah ta̍h chìn-chêng,"
上個月才帶他們去台北遊玩而已，,頂個月才𤆬𪜶去台北𨑨迌爾爾，,"tíng kò gue̍h tsiah tshuā in khì Tâi-pak tshit-thô niâ,","téng kò goe̍h chiah chhōa in khì Tâi-pak chhit-thô niâ,"
走到學校車棚要牽摩托車，,行到學校車棚欲牽oo-tóo-bái，,"kiânn kàu ha̍k-hāu tshia-pênn beh khan oo-tóo-bái,","kiâⁿ kàu ha̍k-hāu chhia-pêⁿ beh khan o͘-tó͘-bái,"
還積極發展母語書寫的能力，,閣積極發展母語書寫的能力，,"koh tsik-ki̍k huat-tián bó-gí su-siá ê lîng-li̍k,","koh chek-ke̍k hoat-tián bó-gí su-siá ê lêng-le̍k,"
老師問學生：,老師問學生講：,Lāu-su mn̄g ha̍k-sing kóng:,Lāu-su mn̄g ha̍k-seng kóng:
請幫我轉分機五一一四,請幫我轉分機五一一四,tshiánn pang guá tsuán hun-ki ngóo it it sù,chhiáⁿ pang góa choán hun-ki ngó͘ it it sù
我很不服氣的跟他們回嘴，,我真不服共𪜶應，,"guá tsin put-ho̍k kā in ìng,","góa chin put-ho̍k kā in èng,"
讓從事台語文的同業有自信與榮譽感。,予做臺語文的同工有自信佮光榮。,hōo tsò Tâi-gí-bûn ê tông-kang ū tsū-sìn kah kong-îng.,hō͘ chò Tâi-gí-bûn ê tông-kang ū chū-sìn kah kong-êng.
他爸爸是個大嗓門，,𪜶老爸足大嚨喉空的，,"in lāu-pē tsiok tuā-nâ-âu-khang--ê,","in lāu-pē chiok tōa-nâ-âu-khang--ê,"
最近《國家語言發展法》已經送入立法院，,最近《國家語言發展法》已經送入去立法院，,"tsuè-kīn “Kok-ka gí-giân huat-tián-huat” í-king sàng li̍p-khì li̍p-huat-īnn,","chòe-kīn“Kok-ka gí-giân hoat-tián-hoat”í-keng sàng li̍p-khì li̍p-hoat-īⁿ,"
大紅色只要放對了地方，,大紅若囥著所在，,"Tuā-âng nā khǹg tio̍h sóo-tsāi,","Tōa-âng nā khǹg tio̍h só͘-chāi,"
他在一九七五年出生,伊佇一九七五年出世,i-tī it kiú tshit ngóo nî tshut-sì,i-tī it kiú chhit ngó͘ nî chhut-sì
才拿出來穿給他們看。,才提出來穿予𪜶看。,tsiah the̍h tshut-lâi tshīng hōo in khuànn.,chiah the̍h chhut-lâi chhēng hō͘ in khòaⁿ.
他心裡一直很納悶。,伊心內一直想無。,I sim-lāi it-ti̍t siūnn-bô.,I sim-lāi it-ti̍t siūⁿ-bô.
你要配甜點嗎？,你有欲配甜料無？,lí ū beh phuè tinn-liāu--bô?,lí ū beh phòe tiⁿ-liāu--bô?
那個杯子髒髒的。,彼塊杯仔垃圾垃圾。,Hit tè pue-á lah-sap lah-sap.,Hit tè poe-á lah-sap lah-sap.
用母語創作，,用母語創作，,"iōng bó-gí tshòng-tsok,","iōng bó-gí chhòng-chok,"
鬧鐘響三聲，,亂鐘仔霆三聲，,"luān-tsing-á tân sann siann,","loān-cheng-á tân saⁿ siaⁿ,"
這些，我也不是完全看不懂，,遮的，我嘛毋是全然看無，,"tsia--ê, guá mā m̄ sī tsuân-jiân khuànn-bô,","chia--ê,góa mā m̄ sī choân-jiân khòaⁿ-bô,"
要馬上去工作，,愛隨出去食頭路，,"ài suî tshut-khì tsia̍h-thâu-lōo,","ài sûi chhut-khì chia̍h-thâu-lō͘,"
那天放學，,彼日散學，,"hit li̍t suànn-o̍h,","hit li̍t sòaⁿ-o̍h,"
本來以為最難搭配的大紅繡金蔥，,本成掠做上歹配的大紅繡金蔥，,"pún-tsiânn lia̍h-tsò siōng pháinn phuè ê tuā-âng siù kim-tshang,","pún-chiâⁿ lia̍h-chò siōng pháiⁿ phòe ê tōa-âng siù kim-chhang,"
只是看不到那麼深入、那麼細膩的內涵，,只不過看袂著遐深、遐幼的內才，,"tsí put-kò khuànn buē tio̍h hiah tshim, hiah iù ê lāi-tsâi,","chí put-kò khòaⁿ bōe tio̍h hiah chhim,hiah iù ê lāi-châi,"
還被中國人這樣糟蹋，,猶閣予中國人按呢共伊蹧躂，,"iáu-koh hōo Tiong-kok-lâng án-ne kā i tsau-that,","iáu-koh hō͘ Tiong-kok-lâng án-ne kā i chau-that,"
整個暑假整整六十天都沒休息。,規个歇熱貼貼六十工攏無歇睏。,kui-ê hioh-lua̍h tah-tah la̍k-tsa̍p kang lóng bô hioh-khùn.,kui-ê hioh-loa̍h tah-tah la̍k-cha̍p kang lóng bô hioh-khùn.
昨天下午去布市，,昨昏下晡去布市仔，,"Tsa̋ng e-poo khì pòo-tshī-á,","Chăng e-po͘ khì pò͘-chhī-á,"
平埔族跟高山族祭拜感恩的性情。,平埔族佮高山族祭拜感恩的性格。,pênn-poo-tso̍k kah ko-suann-tso̍k tsè-pài kám-un ê sìng-keh.,pêⁿ-po͘-cho̍k kah ko-soaⁿ-cho̍k chè-pài kám-un ê sèng-keh.
最近《國家語言發展法》已經送入立法院，,最近《國家語言發展法》已經送入去立法院，,"tsuè-kīn “Kok-ka gí-giân huat-tián-huat” í-king sàng ji̍p-khì li̍p-huat-īnn,","chòe-kīn“Kok-ka gí-giân hoat-tián-hoat”í-keng sàng ji̍p-khì li̍p-hoat-īⁿ,"
訂購的桌巾和杯墊拿回來。,注文的桌苴仔佮杯墊仔提--轉來。,tsù-bûn ê toh-tsū-á kah pue-tiām-á the̍h--tńg-lâi.,chù-bûn ê toh-chū-á kah poe-tiām-á the̍h--tńg-lâi.
一會把課本都撒在地上。,連鞭共冊本掖甲規塗跤。,liâm-mi kā tsheh-pún iā kah kui-thôo-kha.,liâm-mi kā chheh-pún iā kah kui-thô͘-kha.
因此我們的臺語文作品需要繼續加強、升級。,所擺咱的臺語文作品著愛繼續加強、升級。,"Sóo-pái lán ê Tâi-gí-bûn tsok-phín tio̍h-ài kè-sio̍k ka-kiông, sing-kip.","Só͘-pái lán ê Tâi-gí-bûn chok-phín tio̍h-ài kè-sio̍k ka-kiông,seng-kip."
接下來，我們要趕快邁入「新且獨立」的階段：,閣來，咱愛趕緊迒入「新閣獨立」的階段：,"koh lâi, lán ài kuánn-kín hānn-ji̍p “sin koh to̍k-li̍p” ê kai-tuānn:","koh lâi,lán ài kóaⁿ-kín hāⁿ-ji̍p“sin koh to̍k-li̍p”ê kai-tōaⁿ:"
我們用簡單的素牲醴盤、水果盤、大麵、泡麵、罐頭、鹹餅、啤酒拜，,阮用簡單的素牲醴盤、果子盤、大麵、泡麵、罐頭、鹹餅、bì-lù拜，,"gún īng kán-tan ê sòo sing-lé puânn, kué-tsí puânn, tuā-mī, phàu-mī, kuàn-thâu, kiâm piánn, bih-luh pài,","gún ēng kán-tan ê sò͘ seng-lé pôaⁿ,kóe-chí pôaⁿ,tōa-mī,phàu-mī,koàn-thâu,kiâm piáⁿ,bih-luh pài,"
一般住宅祈求住家平安，,一般人家求徛家平安，,"it-puann jîn-ke kiû khiā-ke pîng-an,","it-poaⁿ jîn-ke kiû khiā-ke pêng-an,"
像我的蛙式、仰式游泳就是在這跟爸爸學的。,像我的蛤仔泅、死囡仔䖙就是佇遮佮爸爸學來的。,"tshiūnn guá ê ham-á-siû, sí-gín-á-the tio̍h sī tī tsia kah pa-pa o̍h--lâi--ê.","chhiūⁿ góa ê ham-á-siû,sí-gín-á-the tio̍h sī tī chia kah pa-pa o̍h--lâi--ê."
或許是「美」這個詞本身,檢采是「媠」這个詞本身,kiám-tshái sī “suí” tsit ê sû pún-sin,kiám-chhái sī“súi”chit ê sû pún-sin
想起孩提時代，,想起囡仔時代，,"siūnn-khí gín-á sî-tāi,","siūⁿ-khí gín-á sî-tāi,"
他們要來看我們學校。他們大部份是學生，有幾位是老師。,𪜶欲來看咱學校。𪜶大部份是學生，有幾位仔是老師。,"In beh lâi khuànn lán ha̍k-hāu. In tāi-pōo-hūn sī ha̍k-sing, ū kuí uī-á sī lāu-su.","In beh lâi khòaⁿ lán ha̍k-hāu.In tāi-pō͘-hūn sī ha̍k-seng,ū kúi ūi-á sī lāu-su."
人家那是正宗的師傅做的呢，,人彼是正港師傅做的呢，,"lâng he sī tsiànn-káng sai-hū tsò--ê--neh,","lâng he sī chiàⁿ-káng sai-hū chò--ê--neh,"
發覺粉紅雨傘忘記帶回來。,發覺粉紅雨傘袂記紮轉來。,huat-kak hún-âng hōo-suànn bē-kì tsah--tńg-lâi.,hoat-kak hún-âng hō͘-sòaⁿ bē-kì chah--tńg-lâi.
希望有一天，,希望有一工，,"Hi-bāng ū tsi̍t kang,","Hi-bāng ū chi̍t kang,"
來撫養這個可憐的孫子。,來晟養這个可憐孫。,lâi tshiânn-ióng tsit ê khó-liân sun.,lâi chhiâⁿ-ióng chit ê khó-liân sun.
礁溪龍潭游泳池是國際標準型的，,礁溪龍潭游泳池是國際標準型的，,"Ta-khe Lîng-thâm iû-íng-tî sī kok-tsè piau-tsún-hîng--ê,","Ta-khe Lêng-thâm iû-éng-tî sī kok-chè piau-chún-hêng--ê,"
在台語文運動史裡是很值得紀念的大事紀。,佇台語文運動史裡是真通記念的大代誌。,tī Tâi-gí-bûn ūn-tōng-sú--lí sī tsin thang kì-liām ê tuā tāi-tsì.,tī Tâi-gí-bûn ūn-tōng-sú--lí sī chin thang kì-liām ê tōa tāi-chì.
學生大部份是美國人，是嗎？,學生大部份是美國人，是無？,"Ha̍k-sing tāi-pōo-hūn sī Bí-kok-lâng, sī--bô?","Ha̍k-seng tāi-pō͘-hūn sī Bí-kok-lâng,sī--bô?"
等著要見很久沒見面的哥哥姊姊們，,等欲見真久無見面的兄姊，,"tán beh kìnn tsin kú bô kìnn-bīn ê hiann-tsé,","tán beh kìⁿ chin kú bô kìⁿ-bīn ê hiaⁿ-ché,"
是為什麼要拜拜？,是為啥物欲拜拜？,sī uī-siánn-mih beh pài-pài?,sī ūi-siáⁿ-mih beh pài-pài?
"總共兩百零三元,找你九十七元","攏總兩百零三箍,找你九十七箍","lóng-tsóng nn̄g-pah khòng sann khoo, tsāu lí káu-tsa̍p tshit khoo","lóng-chóng nn̄g-pah khòng saⁿ kho͘,chāu lí káu-cha̍p chhit kho͘"
而我則是得到了放鬆的機會，,Iáu我是抾著機會放輕鬆，,"Iáu guá sī khioh-tio̍h ki-huē pàng khin-sang,","Iáu góa sī khioh-tio̍h ki-hōe pàng khin-sang,"
做生意就是要賺錢，,做生理就是欲趁錢，,"tsò-sing-lí tō sī beh thàn-tsînn,","chò-seng-lí tō sī beh thàn-chîⁿ,"
蔣家獨裁統治臺灣四十多年，,蔣家獨裁統治臺灣四十外冬，,"Tsiúnn--ka to̍k-tshâi thóng-tī Tâi-uân sì-tsa̍p-guā tang,","Chiúⁿ--ka to̍k-chhâi thóng-tī Tâi-oân sì-cha̍p-gōa tang,"
很多小孩國小畢業之後，,足濟囡仔國小出業了，,"tsiok tsuē gín-á kok-sió tshut-gia̍p liáu,","chiok chōe gín-á kok-sió chhut-gia̍p liáu,"
就發動「二二八大屠殺」，,就發動「二二八大屠殺」，,"tō huat-tōng “Jī-jī-pat tuā tôo-sat”,","tō hoat-tōng“Jī-jī-pat tōa tô͘-sat”,"
我有時候也去和他們一起喝茶說笑，閒聊殺時間。是懂一些啦。,我有時嘛去參𪜶食茶練痟話，消遣拍抐涼。捌寡啦。,"Guá ū-sî mā khì tsham in tsia̍h tê liān-siáu-uē, siau-khián phah-lā-liâng. Bat--kuá--lah.","Góa ū-sî mā khì chham in chia̍h tê liān-siáu-ōe,siau-khián phah-lā-liâng.Bat--kóa--lah."
心裡唸「一、二、三、結束」，,心內唸「一、兩、三、煞」，,"sim-lāi liām “tsi̍t, nn̄g, sann, suah”,","sim-lāi liām“chi̍t,nn̄g,saⁿ,soah”,"
「是老師喔！,「是老師喔！,“sī lāu-su--ooh!,“sī lāu-su--o͘h!
啊隔壁鄰居的玩伴多少會有人走來我們家的門口，,啊厝邊隔壁的囡仔伴加減會有人走來阮兜的門跤口，,"ah tshù-pinn-keh-piah ê gín-á-phuānn ke-kiám ē ū lâng kiânn-lâi gún tau ê mn̂g-kha-kháu,","ah chhù-piⁿ-keh-piah ê gín-á-phōaⁿ ke-kiám ē ū lâng kiâⁿ-lâi gún tau ê mn̂g-kha-kháu,"
到我主持家務的時候，,到我扞家的時，,"kàu guá huānn-ke ê sî,","kàu góa hōaⁿ-ke ê sî,"
我來叫一個「起司蛋糕加檸檬皮」，,我來叫一个「tshì-suh雞卵糕參檸檬皮」，,"Guá lâi kiò tsi̍t ê “tshì-suh kue-nn̄g-ko tsham lê-bóng-phêr”,","Góa lâi kiò chi̍t ê“chhì-suh koe-nn̄g-ko chham lê-bóng-phêr”,"
當初的發起者的遠見與維持至今二十年所有參與者的苦心付出，,當初的發起者的遠見佮維持到今二十年所有參與者的苦心付出，,"tong-tshoo ê huat-khí-tsiá ê uán-kiàn kah uî-tshî kàu-tann jī-tsa̍p nî sóo-ū tsham-ú-tsiá ê khóo-sim hù-tshut,","tong-chho͘ ê hoat-khí-chiá ê oán-kiàn kah ûi-chhî kàu-taⁿ jī-cha̍p nî só͘-ū chham-ú-chiá ê khó͘-sim hù-chhut,"
想到小時候，,想起囡仔時代，,"siūnn-khí gín-á sî-tāi,","siūⁿ-khí gín-á sî-tāi,"
是因為思念父母！,是因為思念爸母！,sī in-uī su-liām pē-bú!,sī in-ūi su-liām pē-bú!
我拿一塊比較乾淨的給你。,我提一塊較清氣的予你。,Guá the̍h tsi̍t tè khah tshing-khì--ê hōo--lí.,Góa the̍h chi̍t tè khah chheng-khì--ê hō͘--lí.
淑珠心想明天起，,淑珠暗想隔轉日起，,"Siok-tsu àm-siūnn keh-tńg-ji̍t khí,","Siok-chu àm-siūⁿ keh-tńg-ji̍t khí,"
畢業的第二天，,出業第二工，,"Tshut-gia̍p tē-jī kang,","Chhut-gia̍p tē-jī kang,"
鬧鐘響三聲，,亂鐘仔霆三聲，,"luān-tsing-á tân sann siann,","loān-cheng-á tân saⁿ siaⁿ,"
看顧著語言的「聽、說、讀、寫」這四種基本能力，,照顧著語言的「聽、講、讀、寫」這四種基本能力，,"tsiàu-kòo-tio̍h gí-giân ê “thiann, kóng, tha̍k, siá” tsit sì tsióng ki-pún lîng-li̍k,","chiàu-kò͘-tio̍h gí-giân ê“thiaⁿ,kóng,tha̍k,siá”chit sì chióng ki-pún lêng-le̍k,"
看他爸爸都不說話，很怕他不答應。,看𪜶阿爸攏無講話，真驚伊毋答應。,"khuànn in a-pâ lóng bô kóng-uē, tsin kiann i m̄ tah-ìng.","khòaⁿ in a-pâ lóng bô kóng-ōe,chin kiaⁿ i m̄ tah-èng."
天龍人，鄉巴佬,都市倯，庄跤戇,"too-tshī-sông, tsng-kha-gōng","to͘-chhī-sông,chng-kha-gōng"
台北小孩來囉，,台北囡仔來囉，,"Tâi-pak gín-á lâi--looh,","Tâi-pak gín-á lâi--lo͘h,"
從不將「美」字說出口的那個人。,毋捌共「媠」講出喙的彼个人。,m̄ bat kā “suí” kóng tshut-tshuì ê hit ê lâng.,m̄ bat kā“súi”kóng chhut-chhùi ê hit ê lâng.
