中文,台文,台羅
中科第四期在彰化二林民眾憂污染。中科第四期污水排放工程，環評有條件通過，預定在彰化縣二林建廠，當地漁民認為污染爭議沒有解決，政府卻已經開始強制徵收房子和農地，十二日上百位民眾，北上營建署陳情抗議，卻被大批警察阻擋在門外。,中科第四期佇彰化二林民眾憂污染。中科第四期垃圾水排放工程，環評有條件通過，預訂佇彰化縣二林建廠，當地漁民認為爭議無解決，政府煞已經開始強制徵收厝佮農地，十二號上百位民眾，上北營建事陳情抗議，煞被大批警察棗擋佇門外。,tiong-kho tē-sì-kî tī tsiong-huà jī-lîm bîn-tsiòng iu u-jiámbîn-sī sin-bûn-pò-tōtiong-kho tē-sì-kî lah-sap-tsuí-pâi-hòng kang-tîng，khuân-phîng ū-tiâu-kiānn thong-kuè，ū-tīng-tī tsiong-huà-kuān jī-lîm kiàn-tshiúnn，tong-tē hî-bîn jīn-uî-tsing-gī bô-kái-kuat，tsìng-hú suah-í-king khai-sí kiông-tsè-tin-siu tshù kap lông-tē，tsa̍p-jī-hō tsiūnn-pah-uī bîn-tsiòng，tsiūnn-pak îng-kiàn-sū tîn-tsîng-khòng-gī，suah-pī tuā-phe kíng-tshat tsó-tòng-tī mn̂g-guā。
為了捍衛家園，民眾懸掛抗議布條，還把大量的臭牡蠣，直接倒在營建署門前，要抗議中科第四期，即將在彰化二林興建。,為著限畫家昏，民眾吊掛抗議報條，猶共大量的臭蚵仔，得接倒佇營建事毛前，欲抗議中科第四期，咧欲佇彰化二林興建。,uī-tio̍h hān-uē-ka-hng，bîn-tsiòng tiàu-kuà khòng-gī-pò-liâu，iáu-kā tuā-liōng-ê tshàu-ô-á，tit-tsiap tó-tī îng-kiàn-sū mng-tsîng，beh khòng-gī tiong-kho-tē-sì-kî，tih-beh tī tsiong-huà jī-lîm hing-kiàn。
上百位民眾準備了陳情書，希望在營建署召開區域計畫會議時，再度陳情，大批警力阻擋在門外，連事先準備的雞蛋也被沒收，抗議民眾不滿的情緒也頓時爆發。,上百位民眾準備了陳情書，希望佇營建事召開區嚇計畫會議時，閣再陳情，大批警力棗擋佇門外，連事先準備的雞卵⿳ㄨㄢ⿳⿳ㄋㄚˋ被沒收，抗議民眾不滿的情緒⿳ㄨㄢ⿳⿳ㄋㄚˋ綴尾卜法。,tsiūnn-pah-uī bîn-tsiòng tsún-pī-liáu tîn-tsîng-su，hi-bōng-tī îng-kiàn-sū tiàu-khai khu-hik-kè-uē huē-gī-sî，koh-tsài tîn-tsîng，tuā-phe kíng-li̍k tsó-tòng-tī mn̂g-guā，liân-sū-sian tsún-pī-ê ke-nn̄g uan-ná-pī-bu̍t-siu，khòng-gī-bîn-tsiòng put-buán-ê tsîng-sū uan-ná-tuè-bué pok-huat。
民眾無奈表示，中科第四期早就已經決定，在十八日舉辦動土典禮，區域計畫會議通過審查是遲早的事情。,民眾無奈表示，中科第四期早著已經決定，佇十八號舉辦重討典禮，丘嚇計畫會議通過審查是早慢的代誌。,bîn-tsiòng bû-nāi-piáu-sī，tiong-kho tē-sì-kî tsá-tio̍h í-king-kuat-tīng，tī tsa̍p-peh-hō kú-pān tāng-thó-tián-lé，khu-hik-kè-uē huē-gī thong-kuè-sím-tsa sī tsá-bān-ê-tāi-tsì。
音樂節交流推展台灣文化產業。海洋音樂季或是春天吶喊音樂節等活動，不僅賦予台灣樂壇新生命，也讓台灣音樂產業更蓬勃，亞洲流行音樂節論壇，邀請到台灣國內，包括日本、南韓、中國等音樂節創辦人，希望亞太音樂節的合作，能帶動台灣音樂產業的新氣象。,音樂節交流推展臺灣文化產業。海洋音樂季抑是春天伐囫音樂節等活動，毋但號臺灣樂壇新性命，⿳ㄨㄢ⿳⿳ㄋㄚˋ予臺灣音樂產業較𪁎趒，亞洲流行音樂節論壇，邀請著臺灣國內，包括jit4-pun2、南韓、中國頂音樂節創辦人，希望亞太音樂節的欱足，會帶動臺灣音樂產業的新氣象。,im-ga̍k-tseh kau-liû thui-tián tâi-uân bûn-huà sán-gia̍pbîn-sī sin-bûn-pò-tōhái-iûnn-im-ga̍k-kuì ah-sī tshun-thinn-hua̍h-hut-im-ga̍k-tseh tíng-ua̍h-tāng，m̄-nā-hō tâi-uân-ga̍k-tuânn sin-sènn-miā，uan-ná-hōo tâi-uân-im-ga̍k-sán-gia̍p khah-tshio-tiô，à-tsiu liû-hîng-im-ga̍k-tseh lūn-tuânn，iau-tshiánn-tio̍h tâi-uân-kok-lāi，pau-kuat jit-pún、lâm-hân、tiong-kok tíng im-ga̍k-tseh tshòng-pān-jîn，hi-bōng a-thài im-ga̍k-tseh ê hap-tsok，ē-tài-tōng tâi-uân im-ga̍k-sán-gia̍p ê sin-khì-siōng。
台上台下HIGH翻天，不論是海洋音樂季或是春天吶喊，都為低迷的音樂產業找到新希望，為了讓音樂文化產業有更蓬勃的發展，亞洲第一個流行音樂論壇，邀請到台灣、日本、南韓、中國的音樂節創辦人，暢談音樂節的經驗和期盼，學者也認為，藉由亞太音樂節的合作，不論對台灣文化或產業都有幫助，音樂節論壇的舉辦，未來將持續下去，透過這種國際交流活動，讓台灣流行音樂未來的路更寬更廣。,台頂台跤HIGH車夯，無論是海洋音樂季抑是春天喝囫，攏為踏窞的音樂產業揣著新希望，為著號音樂文化產業有較𪁎趒的發展，亞洲第一的流行音樂論壇，邀請著臺灣、jit4-pun2、南韓、中國的音樂節創辦人，暢談音樂節的經驗敆期盼，學者⿳ㄨㄢ⿳⿳ㄋㄚˋ認為，借著亞太音樂節的欱足，無論對臺灣文化矣產業攏有幫助，音樂節論壇的舉辦，未來欲連紲落去，透過這款國際交流活動，予臺灣音樂流行音樂未來的路較開較闊。,tâi-tíng tâi-kha HIGH tshia-giâ，bô-lūn-sī hái-iûnn-im-ga̍k-kuì ah-sī tshun-thinn-huah-hut，lóng-uī ta̍h-thām-ê im-ga̍k-sán-gia̍p tshuē-tio̍h sin-hi-bōng，uī-tio̍h-hō im-ga̍k-bûn-huà sán-gia̍p ū-khah tshio-tiô-ê huat-tián，à-tsiu tē-it-ê liû-hîng-im-ga̍k-lūn-tuânn，iau-tshiánn-tio̍h tâi-uân、jit-pún、lâm-hân、tiong-kok-ê im-ga̍k-tseh tshòng-pān-jîn，thiòng-tâm im-ga̍k-tseh ê king-giām-kap-kî-phàn，ha̍k-tsiá uan-ná-jīn-uî，tsioh-tio̍h a-thài-im-ga̍k-tseh ê hap-tsok，bô-lūn-tuì tâi-uân-bûn-huà 0ah sán-gia̍p lóng-ū-pang-tsōo，im-ga̍k-tseh-lūn-tuânn ê kú-pān，bī-lâi bueh-liân-suà lo̍h-khì，thàu-kuè tsit-khuán kok-tsè-kau-liû-ua̍h-tāng，hōo tâi-uân-im-ga̍k-liû-hîng-im-ga̍k bī-lâi-ê-lōo khah-khui-khah-khuah。
美麗島三十週年楊青矗寫歷史。今年是美麗島事件三十週年，作家楊青矗特別出版，新書美麗島進行曲，以小說的方式，詳細描寫美麗島事件的始末，並且請來姚嘉文、尤清等人，暢談這場在台灣民主歷史上，非常重要的一場黨外抗爭。,美麗島三十週年羊清簇寫歷史。今年是美麗島事件三十週年，作家陽清齪特別出版，新冊美麗島進行曲，用小雪的方式，詳細描寫美麗島事件的頭尾，並且請來姚嘉文、尤清等人，暢談這場佇臺灣民主歷史上，非常重要的一場黨外抗爭。,bí-lē-tó sann-tsa̍p-tsiu-nî iûnn-tshing-tshak siá-li̍k-súbîn-sī sin-bûn-pò-tōkin-nî sī bí-lē-tó-sū-kiānn sann-tsa̍p-tsiu-nî，tsok-ka iûnn-tshing-tshak ti̍k-pia̍t tshut-pán，sin-tsheh bí-lē-tó-tsìn-hîng-khik，īng siáu-suat-ê hong-sik，siông-sè biâu-siá bí-lē-tó sū-kiānn-ê thâu-bué，pīng-tshiánn tshiánn-lâi iâu-ka-bûn、iû-tshing tíng-lâng，thiòng-tâm tsit-tiûnn tī tâi-uân-bîn-tsú li̍k-sú-siōng，hui-siông tiōng-iàu-ê tsi̍t-tiûnn tóng-guā khòng-tsing。
姚嘉文、林文義、尤清，加上艾琳達齊聚一堂，新書美麗島進行曲書中寫的，都是他們當年的親身經歷，雖然過了三十年，不過當年的事蹟，卻好像昨天才發生，為了讓更多人了解美麗島的真相，楊青矗用八十萬字讓歷史重演。,姚嘉文、林文義、尤清，閣ai1-linda齊自做伙，新冊美麗島進行曲冊裡寫的，攏是𪜶當年的親身經歷，雖然過了三十年，不過當年的事蹟，煞親像昨日才發生，為著予較濟人美麗島的真相，陽清齪用八十萬字予歷史重搬。,iâu-ka-bûn、lîm-bûn-gī、iû-tshing，koh ai-linda tsuê-tsū-tsò-hué，sin-tsheh bí-lē-tó-tsìn-hîng-khik tsheh-0lí siá-ê，lóng-sī-in tong-nî-ê tshin-sin-king-li̍k，sui-jiân kuè-liáu sann-tsa̍p-nî，put-kò tong-nî-ê sū-tsik，suah-tshin-tshiūnn tso̍h-ji̍t tsiah-huat-sing，uī-tio̍h hōo khah-tsuē-lâng bí-lē-tó ê tsin-siòng，iûnn-tshing-tshak iōng peh-tsa̍p-bān-jī hōo li̍k-sú-tîng-puann。
民主老前輩，話說當年勇，藉由文字紀錄中國國民黨的惡名，讓美麗島事件，永遠留在台灣民主史上。,民主老前輩，話講當年勇，借著文字紀錄中國國民黨的臭名聲，予美麗島事件，永遠留佇臺灣民主史上。,bîn-tsú lāu-tsiân-puè，uē-kóng-tong-nî-ióng，tsioh-tio̍h bûn-jī kì-lo̍k tiong-kok-kok-bîn-tóng ê tshàu-miâ-siann，hōo bí-lē-tó-sū-kiānn，íng-uán lâu-tī tâi-uân bîn-tsú-sú-siōng。
陳菊掛保證帶頭吃薑母鴨。高雄市市長陳菊在十六日晚上，以實際行動相挺薑母鴨業者，因為戴奧辛毒鴨事件發生後，市府馬上清查六十四家業者的鴨肉來源，並非來自受污染地區，而且薑母鴨用的是紅面番鴨，跟毒鴨事件的品種不一樣，要大家吃得安心。,陳菊靠保證唱頭食薑母鴨。高雄市市長陳菊佇十六號暗時，用實際行動相挺薑母鴨業者，因為戴奧辛毒鴨事件發生後，市府馬上清查六十四間業者的鴨肉來源，並非來自受污染地區，而且薑母鴨用的是紅面番鴨，佮毒鴨事件的品種無仝款，愛逐家食得安心。,tân-kiok khuà-pó-tsìng tshiàng-thâu tsia̍h kiunn-bú-ahbîn-sī sin-bûn-pò-tōko-hiông-tshī-tshī-tiúnn tân-kiok tī tsa̍p-la̍k-hō àm-sî，īng si̍t-tsè-hîng-tōng sio-thíng kiunn-bú-ah gia̍p-tsiá，in-uī tè-ò-sin to̍k-ah-sū-kiānn huat-sing-āu，tshī-hú má-siōng tshing-tsa la̍k-tsa̍p-sì king gia̍p-tsiá-ê ah-bah lâi-guân，pīng-hui-lâi-tsū siū-u-jiám tē-khu，jî-tshiánn kiunn-bú-ah iōng-ê-sī âng-bīn-huan-ah，kah to̍k-ah sū-kiānn-ê phín-tsíng bô-kāng-khuán，ài ta̍k-ke tsia̍h-tit-an-sim。
老闆秀出招牌菜，大火快炒三杯薑母鴨，因為晚上有貴客，高雄市長陳菊要以實際行動相挺，這一攤薑母鴨大餐不是隨便吃吃，市長陳菊做足了功課才來的，有了市長掛保証，鴨肉的品種、來源沒問題，陳菊市長還一一幫衛生、環保等，所有陪同的單位首長加菜，慰勞他們追查毒鴨的勞累，工作的甘苦，當官的只能往肚裡吞，還得說說美食的滋味，幸好高雄市沒查到被戴奧辛污染的鴨肉，不然這一攤慶功宴就吃不到了。,頭家展出招牌菜，猛火快炒三杯薑母鴨，因為⿰下昏暗有貴客，高雄市長陳菊欲用實際行動相挺，這攤薑母鴨大頓毋是隨便食食，市長陳菊做夠額功課才來的，有了市長靠保證，鴨肉的品種來源無問題，陳菊市長猶一一幫衛生、環保頂，所有陪同的單位首長加菜，慰勞𪜶追查毒鴨的勞力，工作的甘苦，做關的只會畏腹肚內吞，猶著罔講好食物的滋味，好佳哉高雄市無柴就被戴奧辛污染的鴨肉，若無這攤慶功宴都食袂著矣。,thâu-ke tián-tshut tsiau-pâi-tshài，bíng-hué-khuài-tshá sann-pue-kiunn-bú-ah，in-uī ing-àm ū-kuì-kheh，ko-hiông-tshī-tiúnn tân-kiok beh-īng si̍t-tsè-hîng-tōng sio-thíng，tsit-thuann kiunn-bú-ah-tuā-tǹg m̄-sī suî-piān-tsia̍h-tsia̍h，tshī-tiúnn-tân-kiok tsò-kàu-gia̍h kong-khò tsiah-lâi-ê，ū-liáu tshī-tiúnn khuà-pó-tsìng，ah-bah-ê phín-tsíng lâi-guân bô-būn-tê，tân-kiok tshī-tiúnn iáu-it-it-pang uē-sing、khuân-pó tíng，sóo-ū puê-tông-ê tan-uī-siú-tiúnn ka-tshài，uì-lô-in tui-tsa to̍k-ah-ê lô-li̍k，kang-tsok-ê kam-khóo，tsò-kuan-ê tsí-ē uì-pak-tóo-lāi thun，iáu-tio̍h bóng-kóng hó-tsia̍h-mi̍h-ê tsu-bī，hó-kai-tsài ko-hiông-tshī bô-tshâ-tio̍h pī tè-ò-sin-u-jiám-ê ah-bah，nā-bô tsit-thuann khìng-kong-iàn to tsia̍h-bē-tio̍h-ah。
淡水河出現上萬魚暴斃。從十五日開始，大稻埕到敦煌碼頭，大約十公里的河面上，不斷出現大量暴斃魚屍，台北市議員簡余晏質疑，河水可能是被煙火節掉落的焰火碎片污染，但是台北市環保局卻認為，應該只是天氣劇變導致魚群凍死。,淡水河出現上萬魚仔莖矢。對十五號開始，大稻朾到敦煌碼頭，大約十公里的河面上，不斷出現大量橫死魚屍，臺北市議員簡余晏質疑，溪水可能是被煙火節落落的焰火喙配仔污染，但是臺北市環保局煞認為，應該只是天氣劇變致使魚陣寒死。,tām-tsuí-hô tshut-hiān tsiūnn-bān hî-á huâinn-síbîn-sī sin-bûn-pò-tōtuì tsa̍p-gōo-hō khai-sí，tuā-tiū-tiann kàu tun-hông-bé-thâu，tāi-iok tsa̍p-kong-lí ê hô-bīn-siōng，put-tuān-tshut-hiān tuā-liōng huâinn-sí hî-si，tâi-pak-tshī-gī-uân kán-î-uànn tsit-gî，khe-tsuí khó-lîng-sī pī ian-hué-tseh lak-lo̍h-ê iām-hué tshuì-phuè-á u-jiám，tān-sī tâi-pak-tshī khuân-pó-kio̍k suah-jīn-uî，ìng-kai tsí-sī thinn-khì ki̍k-piàn tì-sú hî-tīn kuânn-sí。
船在淡水河面上打轉，不是捕魚，而是在打撈死魚，即使撈了一上午「滿載而歸」，不過記者下午重回現場，發現還是沒撈完，依舊有不少翻白肚的死魚，在河面上載浮載沉，不時傳來陣陣的惡臭，可以想像死魚數量有多驚人。,船佇淡水河面上滒滒踅，毋是掠魚，抑是佇孤死魚仔，即使罟了一早起「滿載而歸」，不過記者下晡重回現場，發現猶是無孤完，猶原有袂少反白肚的死魚仔，佇河面上半浮沉，不時傳來陣陣的惡臭，會使想像死魚仔數量有偌驚人，,tsûn tī tām-tsuí-hô-bīn-siōng kō-kō-se̍h，m̄-sī lia̍h-hî，iah-sī-tī koo sí-hî-á，tsik-sú koo-liáu tsi̍t-tsá-khí「muá-tsài-lî-kui」，put-kò kì-tsiá ē-poo tîng-huê-hiān-tiûnn，huat-hiān iáu-sī bô-koo-uân，iu-guân-ū bē-tsió píng-pe̍h-tóo ê sí-hî-á，tī-hô-bīn-siōng puànn-phû-tîm，put-sî thuân-lâi tsūn-tsūn-ê ok-tshàu，ē-sái sióng-siōng sí-hî-á sòo-liōng ū-guā-kiann-lâng，
當地居民表示住了三十多年，從來沒看過上萬隻魚同時暴斃的慘況，懷疑淡水河遭污染，向台北市環保局檢舉，環保局卻聲稱是天氣太冷才讓魚暴斃，這樣說法就算成立，但是數量怎麼可能這麼多，市議員簡余晏質疑死因不單純，不但自費請來專家檢驗水質和魚體，也要環保局查清楚，一週內給個交代。,在地人表示蹛了三十外年，透底無看過上萬隻魚仔仝時橫死的慘狀，憢疑淡水河遭污染，對臺北市環保局檢舉，環保局煞聲稱是天氣傷冷才予魚仔橫死，按呢講法就算成立，但是數量哪會可能遮爾濟，市議員簡余晏質疑死因無單純，毋但自費請來專家檢驗水質佮魚體，⿳ㄨㄢ⿳⿳ㄋㄚˋ愛環保局查清楚，一禮拜內予一个交代。,tsāi-tē-lâng piáu-sī tuà-liáu sann-tsa̍p-guā-nî，thàu-té bô-khuànn-kuè tsiūnn-bān-tsiah-hî-á kâng-sî huâinn-sí-ê tshám-tsōng，giâu-gî tām-tsuí-hô tso-u-jiám，tuì tâi-pak-tshī-khuân-pó-kio̍k kiám-kí，khuân-pó-kio̍k suah-sing-tshing sī thinn-khì siunn-líng tsiah-hōo hî-á huâinn-sí，án-ne kóng-huat tsiū-sǹg sîng-li̍p，tān-sī sòo-liōng ná-ē-khó-lîng tsiah-ní-tsē，tshī-gī-uân kán-î-uànn tsit-gî sí-in bô-tan-sûn，m̄-nā tsū-huì tshiánn-lâi tsuan-ka kiám-giām-tsuí-tsit kap hî-thé，uan-ná-ài khuân-pó-kio̍k tsa-tshing-tshó，tsi̍t-lé-pài-lāi hōo-tsi̍t-ê-kau-tāi。
世界電玩王劉祐辰載譽返回台灣。電玩界的台灣之光，二ＯＯ九年WCG世界電玩大賽，由台灣的劉祐辰拿下冠軍，十一月十七日劉祐辰返抵國門，他說最想要把這個獎牌，獻給他過世的爸爸，希望爸爸在天之靈也能分享他的榮耀。,世界電動王劉祐辰斡轉載預。電動蓋的臺灣之光，兩千空九年WCG世界電動大賽，由臺灣的劉祐辰提落冠軍，十一月十七號劉祐辰轉到國門，伊講上想欲共這个獎牌，獻雨伊過往的老爸，希望老爸在天之靈⿳ㄨㄢ⿳⿳ㄋㄚˋ會分享伊的榮耀。,sè-kài tiān-tōng-ông lâu-iū-sîn uat-tńg tsài-ī. tiān-tōng-kài-ê tâi-uân-tsi-kong，nn̄g-tshing-khòng-káu-nî WCG sè-kài-tiān-tōng-tuā-sài，iû tâi-uân-ê lâu-iū-sîn the̍h-lo̍h kuàn-kun，tsa̍p-it-gue̍h tsa̍p-tshit-hō lâu-iū-sîn tńg-kàu kok-mn̂g，i kóng siōng-siūnn-beh kā-tsit-ê tsióng-pâi，hiàn-hōo i kuè-óng-ê lāu-pē，hi-bōng lāu-pē tsāi-thian-tsi-lîng uan-ná-ē hun-hióng i-ê îng-iāu。
劉祐辰一走出機場大廳，親朋好友已經等著要獻花恭喜劉祐辰，為台灣拿下二ＯＯ九年，WCG的世界電玩大賽冠軍，成為台灣之光，這份榮耀劉祐辰最想要分享給一個人，原來金牌的背後，有著劉祐辰對爸爸的思念，一路上的征戰，劉祐辰從默默無名，到拿下世界冠軍，劉祐辰最開心的就是，終於讓台灣躍上國際，明年劉祐辰還要靠著他的電玩絕技，角逐在洛杉磯的世界電玩大賽，爭取二連霸。,劉祐辰一行出機場大廳，親朋好友已經等咧欲獻­-花恭喜劉祐辰，為臺灣提落兩千空九年，WCG的世界電動大賽冠軍，成做臺灣之光，這份榮耀劉祐辰上想欲分享予一个人，原來金牌的背後，有咧劉祐辰對老爸的思念，一路上的征戰，劉祐辰對恬靜無明，到提落世界冠軍，劉祐辰上歡喜的就是，總算予臺灣藥上國際，明年劉祐辰猶欲靠著伊的電動絕枝，相爭佇洛杉磯的世界電動大賽，爭取二連霸。,lâu-iū-sîn tsi̍t-kiânn-tshut ki-tiûnn-tuā-thiann，tshin-pîng-hó-iú í-king tán-leh beh-hiàn­hue kiong-hí lâu-iū-sîn，uī tâi-uân the̍h-lo̍h nn̄g-tshing-khòng-káu-nî，WCG ê sè-kài tiān-tōng tuā-sài kuàn-kun，tsiânn-tsò tâi-uân-tsi-kong，tsit-hūn-îng-iāu lâu-iū-sîn siōng-siūnn-beh hun-hióng-hōo tsi̍t-ê-lâng，guân-lâi kim-pâi-ê puè-āu，ū-leh lâu-iū-sîn tuì lāu-pē-ê su-liām，tsi̍t-lōo-siōng-ê tsing-tsiàn，lâu-iū-sîn tuì tiām-tsīng-bô-bîng，kàu the̍h-lo̍h sè-kài-kuàn-kun，lâu-iū-sîn siōng-huann-hí-ê tio̍h-sī，tsóng-sǹg-hōo tâi-uân io̍k-siōng kok-tsè，mê-nî lâu-iū-sîn iáu-beh khò-tio̍h i-ê tiān-tōng tsua̍t-ki，sann-tsenn tī lo̍k-sam-ki ê sè-kài-tiān-tōng-tuā-sài，tsing-tshú jī-liân-pà。
美國牛內臟換外交退步蔡同榮轟馬失策。美國總統Obama的亞洲行，十七日與中國領導人胡錦濤會談，Obama雖然口頭說到了台灣關係法，但事後雙方發表的聲明並未提及，民進黨立法院黨團總召蔡同榮說，顯然馬英九用擴大進口牛內臟討好美國，換來的依舊是外交上的退步，蔡同榮說最應該負責任的人，就是馬英九和駐美國代表袁健生。,美國牛腹內換外交退步蔡同榮轟馬失策。美國總統Obama的亞洲還，十七號和中國領導人胡錦萄會談，Obama雖然口頭講著了臺灣關係法，但事後雙方發表的聲明並無提到，民進黨立法院黨團總召蔡同榮講，顯然馬英九用擴大進口牛腹內扶挺美國，換來的油完是外交上的退步，蔡同榮講上應該負責的人，就是馬英九佮駐美國代表完胘先。,bí-kok gû-pak-lāi uānn guā-kau thè-pōo tshuà-tông-îng hong má sit-tshikbîn-sī sin-bûn-pò-tōbí-kok-tsóng-thóng Obama ê a-tsiu hîng，tsa̍p-tshit-hō hâm tiong-kok-líng-tō-jîn ôo-gím-tô huē-tâm，Obama sui-jiân kháu-thâu kóng-tio̍h-liáu tâi-uân-kuan-hē-huat，tān-sū-āu siang-hong huat-piáu-ê sing-bîng pīng-bô thê-kàu，bîn-tsìn-tóng li̍p-huat-īnn-tóng-thuân tsóng-tiàu tshuà-tông-îng kóng，hián-jiân má-ing-kiú iōng khok-tuā-tsìn-kháu gû-pak-lāi phôo-thánn bí-kok，uānn-lâi-ê iû-uân-sī guā-kau-siōng-ê thè-pōo，tshuà-tông-îng kóng siōng-ìng-kai hū-tsik-ê-lâng，tio̍h-sī má-ing-kiú kap tsù-bí-kok-tāi-piáu uân-kiān-sing。
