台文,台羅,中文
入人門，順人意。,"Ji̍p lâng mn̂g, sūn lâng ì. ",進了人家的門，就要順從別人的意思。比喻女子出嫁後，要順從丈夫及翁姑之意。
伊對你有意。,I tuì lí iú ì. ,他對你有意思。
佮意,kah-ì,喜歡
我真愛𨑨迌。,Guá tsin ài tshit-thô. ,我很喜歡玩。
我無愛無老實的人。,Guá bô ài bô láu-si̍t ê lâng. ,我不喜歡不老實的人。
愛情,ài-tsîng,愛情
愛心,ài-sim,愛心
我足愛睏的。,Guá tsiok ài-khùn--ê. ,我很想睡覺。
想著就愛笑。,Siūnn--tio̍h tō ài tshiò. ,一想到就覺得想笑。
你行路愛小心。,Lí kiânn-lōo ài sió-sim. ,你走路要小心。
感心,kám-sim,令人感動
感謝,kám-siā,感謝
感著,kám--tio̍h,感冒了
感染,kám-jiám,感染
藥戥,io̍h-tíng,藥秤
戥金仔,tíng kim-á,秤金子
戥藥仔,tíng io̍h-á,秤藥
揫索仔,tshiû soh-á,拉回繩子
挽瓜揫藤,bán-kue-tshiû-tîn,順藤採瓜。比喻在一件複雜的事情中理出頭緒，探究真相。
伊佮愛人仔去𨑨迌。,I kah ài-jîn-á khì tshit-thô. ,他和情人去遊玩。
伊受著老師的感化了後，就變乖矣。,"I siū-tio̍h lāu-su ê kám-huà liáu-āu, tō piàn kuai--ah. ",他受到老師的教化後，就變乖了。
伊講的話予我真感心。,I kóng ê uē hōo guá tsin kám-sim. ,他講的話讓我很感動。
伊又閣惹代誌矣。,I iū-koh jiá-tāi-tsì--ah. ,他又闖禍了。
火車發生意外。,Hué-tshia huat-sing ì-guā. ,火車出意外。
里幹事,lí kàn-sū,里幹事
你按呢四界惹事，實在真可惡。,"Lí án-ne sì-kè jiá-sū, si̍t-tsāi tsin khó-ònn. ",你這樣到處惹事生非，實在真可惡。
你毋通閣佇遐想東想西，趕緊做工課啦！,"Lí m̄-thang koh tī hia siūnn-tang-siūnn-sai, kuánn-kín tsò khang-khuè--lah! ",你不要還在那裡胡思亂想，趕快做工作啦！
伊規工攏咧想空想縫，想欲諞人的錢。,"I kui kang lóng teh siūnn-khang-siūnn-phāng, siūnn beh pián lâng ê tsînn. ",他整天都在打鬼主意，想拐騙別人的錢。
你講這款話是啥物意思？,Lí kóng tsit khuán uē sī siánn-mih ì-sù? ,你說這話是什麼意義？
阿勇對阿麗有意思。,A-ióng tuì A-lē ū ì-sù. ,阿勇喜歡阿麗。
伊予人感染著流行感冒。,I hōo lâng kám-jiám-tio̍h liû-hîng kám-mōo. ,他被別人傳染到流行感冒。
阿彬細漢的時真愛哭。,A-pin sè-hàn ê sî tsin ài-khàu. ,阿彬小時候很愛哭。
非常感恩,hui-siông kám-un,非常謝謝
意氣用事,ì-khì iōng-sū,意氣用事
意氣投合,ì-khì tâu-ha̍p,心意互相投合
這齣電影感動真濟觀眾。,Tsit tshut tiān-iánn kám-tōng tsin tsē kuan-tsiòng. ,這部電影感動很多觀眾。
𪜶兩个人的感情真好。,In nn̄g ê lâng ê kám-tsîng tsin hó. ,他們兩個人的感情很好。
愛媠是人的天性。,Ài-suí sī lâng ê thian-sìng. ,愛美是人與生俱來的本性。
昨暗睏無好，今仔日誠愛睏。,"Tsa-àm khùn bô hó, kin-á-ji̍t tsiânn ài-khùn. ",昨晚沒睡好，今天很想睡。
外口咧起風矣，你無疊衫就走出去，是會感著。,"Guā-kháu teh khí-hong--ah, lí bô tha̍h sann tō tsáu--tshut-khì, sī ē kám--tio̍h. ",外面開始起風了，你沒加件衣服就跑出去，是會感冒的。
少年人若有相意愛就好，咱莫插傷濟。,"Siàu-liân-lâng nā ū sio ì-ài tō hó, lán mài tshap siunn tsē. ",年輕人彼此喜歡就好，我們不要管太多。
你對這件代誌有啥物感想？,Lí tuì tsit kiānn tāi-tsì ū siánn-mih kám-sióng? ,你對這件事情有什麼感想？
伊逐擺看著人攏微微仔笑。,I ta̍k-pái khuànn-tio̍h lâng lóng bî-bî-á tshiò. ,他每次看到人都會微微笑。
伊去予蛇驚甲慄慄掣。,I khì hōo tsuâ kiann kah la̍k-la̍k-tshuah. ,她被蛇嚇得發抖。
伊愛嬌的模樣攏無改變。,I ài-kiau ê bôo-iūnn lóng bô kái-piàn. ,她嬌媚的模樣都沒有改變。
你按呢共我鬥相共，我真感激你。,"Lí án-ne kā guá tàu-sann-kāng, guá tsin kám-kik--lí. ",你這樣幫我，我很感激你。
人講雙生仔定定會互相感應。,Lâng kóng siang-senn-á tiānn-tiānn ē hōo-siong kám-ìng. ,人家說雙胞胎往往能彼此感應。
感謝你共我鬥相共，代誌才會遐爾緊就做了。,"Kám-siā lí kā guá tàu-sann-kāng, tāi-tsì tsiah ē hiah-nī kín tō tsò-liáu. ",謝謝你幫我，事情才會這麼快就做完。
到底你的意願是按怎？,Tàu-té lí ê ì-guān sī án-tsuánn? ,到底你的意願是如何？
這个所在予人的感覺真溫暖。,Tsit ê sóo-tsāi hōo--lâng ê kám-kak tsin un-luán. ,這個地方給人的感覺很溫暖。
我感覺伊真顧人怨。,Guá kám-kak i tsin kòo-lâng-uàn. ,我覺得他很令人討厭。
損胃,sńg uī,傷胃
出頭損角,tshut-thâu sńg-kak,出頭傷角。比喻愛出風頭的，容易招惹到麻煩。
雞仔會來損菜園。,Ke-á ē lâi sńg tshài-hn̂g. ,雞隻會來蹧踏菜園。
損神,sńg-sîn,耗費精神
損失,sún-sit,損失
虧損,khui-sún,虧損
喙䫌搐一下。,Tshuì-phué tiuh--tsi̍t-ē. ,臉頰抽搐一下。
頭殼筋咧搐。,Thâu-khak kin teh tiuh. ,頭在抽痛。
搐人衫裾尾。,Tiuh lâng sann-ki-bué. ,拉人家的衣尾。比喻緊跟著人家後面撿好處、占便宜。
予我共伊搐一下。,Hōo guá kā i tiuh--tsi̍t-ē. ,被我輕輕地抽打一下。
搖較大力咧。,Iô khah tuā-la̍t--leh. ,搖大力一點。
搖頭,iô-thâu,搖頭
這張紙哪會予你搙甲變按呢？,Tsit tiunn tsuá ná ē hōo lí jio̍k kah pìnn án-ne? ,這張紙怎麼會被你揉成這樣？
煮油飯愛那熗那搜。,Tsú iû-pn̄g ài ná tshìng ná tshiau. ,料理油飯的時候要邊蒸邊攪拌。
規間厝搜透透，攏揣無。,"Kui king tshù tshiau-thàu-thàu, lóng tshuē-bô. ",把整間房子都翻遍了，還是找不到。
搝來搝去,khiú lâi khiú khì,拉來拉去
風湧大，船搟甲真厲害，莫怪伊會眩船。,"Hong-íng tuā, tsûn hián kah tsin lī-hāi, bo̍k-kuài i ē hîn-tsûn. ",風浪大，船晃得很厲害，難怪他會暈船。
衫搢入去衫櫥內。,Sann tsìnn ji̍p-khì sann-tû lāi. ,衣服塞進衣櫥裡。
搢鴨,tsìnn ah,不肖商人把飼料填入鴨身內，以增加重量賣高價。
搢人縫,tsìnn lâng phāng,從擁擠的人群縫中擠進去
搢入去公車內面。,Tsìnn ji̍p-khì kong-tshia lāi-bīn. ,擠進公車裡面。
搢做頭前,tsìnn-tsò thâu-tsîng,爭做前頭
烏仔魚搢水。,Oo-á-hî tsìnn tsuí. ,烏魚逆流向前游。意謂不認輸。
搣塗豆,me thôo-tāu,抓一把花生
搣米飼雞,me bí tshī ke,抓一把米餵雞
一搣銀角仔,tsi̍t me gîn-kak-á,一把銅板
搤番薯,iah han-tsî,挖番薯
鴨仔咧搤水。,Ah-á teh iah tsuí. ,鴨子在划水。
伊上愛搤人的根底。,I siōng ài iah lâng ê kin-té. ,他最喜歡揭人瘡疤。
這領衫袂當囥洗衫機洗，你去用手浞浞咧。,"Tsit niá sann bē-tàng khǹg sé-sann-ki sé, lí khì iōng tshiú tshio̍k-tshio̍k--leh. ",這件衣服不能放洗衣機洗，你去用手稍微搓一下。
你看你浞甲規雙鞋仔全塗。,Lí khuànn lí tshio̍k kah kui siang ê-á tsuân thôo. ,你看你踩得整雙鞋子都是泥巴。
搦著證據,la̍k-tio̍h tsìng-kì,握有證據
衫仔褲搦搦咧。,Sann-á-khòo la̍k-la̍k--leh. ,衣服用手抓揉清洗一下。
搦鹹菜,la̍k kiâm-tshài,醃漬鹹菜，把鹽揉進去
搦屎搦尿,la̍k-sái-la̍k-jiō,清洗沾了屎尿的尿布或衣褲等
搧喙䫌,sàm tshuì-phué,掌嘴、打耳光
搧喙䫌,siàn tshuì-phué,打耳光
感冒毋通搧著風。,Kám-mōo m̄-thang siàn-tio̍h hong. ,感冒不要吹到風。
予人搧大耳去。,Hōo lâng siàn-tuā-hīnn--khì. ,被人騙了。
提石頭共伊搩落去。,The̍h tsio̍h-thâu kā i kiat--lo̍h-khì. ,拿石頭砸他。
講無兩句就搩起來矣。,Kóng bô nn̄g kù tō kiat--khí-lâi--ah. ,講不到兩句話就打起來了。
跤手遮緊，隨予你搩幾若塊去。,"Kha-tshiú tsiah kín, suî hōo lí kiat kuí-nā tè--khì. ",動作這麼快，馬上就被你吃掉好幾塊。
我佇路口搪著伊。,Guá tī lōo-kháu tn̄g-tio̍h i. ,我在路口遇到他。
拄搪,tú-tn̄g,剛好
搬貨,puann huè,搬貨
搬運,puann-ūn,搬運
搬戲,puann-hì,演戲
搬電影,puann tiān-iánn,播映電影
搭胸坎,tah hing-khám,拍胸脯
搭戲台,tah hì-tâi,搭戲台
搭船,tah tsûn,搭船
搭車,tah tshia,搭車
搭酒,tah tsiú,買酒，也指買散裝酒。
𪜶兜佇佗一搭？,In tau tī tó tsi̍t tah? ,他們家在哪一個位置？
面巾搵予澹。,Bīn-kin ùn hōo tâm. ,把毛巾沾溼。
搵豆油,ùn tāu-iû,沾醬油
你哪會使搶人的物件？,Lí ná ē-sái tshiúnn lâng ê mi̍h-kiānn? ,你怎麼可以搶別人的東西？
搶時間,tshiúnn sî-kan,充分利用零碎時間，不浪費一分一秒。
摃囡仔,kòng gín-á,打小孩
摃鼓,kòng kóo,打鼓
予人摃三千箍去。,Hōo lâng kòng sann-tshing khoo--khì. ,被人敲詐三千元走。
敬老尊賢。,Kìng nóo tsun hiân. ,敬老尊賢。
敬酒,kìng-tsiú,敬酒
你水斟了傷滇。,Lí tsuí thîn liáu siunn tīnn. ,你水倒得太滿。
斟茶,thîn tê,倒茶
新厝,sin tshù,新家
新鞋,sin ê,新鞋
新人,sin-lâng,新進人員
新頭路,sin thâu-lōo,新工作
新正,sin-tsiann,新年
這个物件無遐貴，你去予人搧大耳矣。,"Tsit ê mi̍h-kiānn bô hiah kuì, lí khì hōo lâng siàn-tuā-hīnn--ah. ",這個東西沒這麼貴，你被騙了。
𪜶彼班搝大索搝贏，逐家攏足歡喜的。,"In hit pan khiú-tuā-soh khiú-iânn, ta̍k-ke lóng tsiok huann-hí--ê. ",他們那班拔河贏了，大家都很高興。
你若無佮意就搖手。,Lí nā bô kah-ì tō iô-tshiú. ,你如果不喜歡就搖手。
這塊布提去搵水。,Tsit tè pòo the̍h-khì ùn tsuí. ,這塊布拿去沾水。
你愛賠償我的損失。,Lí ài puê-siông guá ê sún-sit. ,你必須賠償我的損失。
強盜去搶劫銀行。,Kiông-tō khì tshiúnn-kiap gîn-hâng. ,強盜去搶劫銀行。
彼隻狗仔咧搖尾。,Hit tsiah káu-á teh iô bué. ,那隻狗在搖尾巴。
警察懷疑伊有紮毒品，共伊搜身軀。," Kíng-tshat huâi-gî i ū tsah to̍k-phín, kā i tshiau sin-khu. ",警察懷疑他攜帶毒品，遂進行搜身。
伊去搭油。,I khì tah iû. ,他拿空瓶去買油。
莫相搤空。,Mài sio iah-khang. ,別互相揭短。
自細漢共伊搦屎搦尿晟養大漢，想袂到伊遮爾不孝。,"Tsū sè-hàn kā i la̍k-sái-la̍k-jiō tshiânn-ióng tuā-hàn, siūnn bē kàu i tsiah-nī put-hàu. ",從小辛勞的將他扶養長大，沒想到他這麼不孝。
欲漆懸的所在就愛搭架。,Beh tshat kuân ê sóo-tsāi tō ài tah-kè. ,要油漆高的地方就要搭架子。
這向搢風真歹行。,Tsit hiòng tsìnn-hong tsin pháinn kiânn. ,這個方向逆風很難走。
你共烘爐提去外口搧風，按呢火才會較炎。,"Lí kā hang-lôo the̍h-khì guā-kháu siàn-hong, án-ne hué tsiah ē khah iām. ",你把火爐拿到外面當著風吹，這樣火勢才比較大。
伊可能是昨暝有搧風，所以才會發燒。,"I khó-lîng sī tsa-mê ū siàn-hong, sóo-í tsiah ē huat-sio. ",他可能是昨晚受了風寒，所以早上才會發燒。
因為伊不時換頭路，所以定定咧搬厝。,"In-uī i put-sî uānn thâu-lōo, sóo-í tiānn-tiānn teh puann-tshù. ",因為他不斷的換工作，所以經常在搬家。
食薰毋但了錢閣會損害身體。,Tsia̍h-hun m̄-nā liáu-tsînn koh ē sún-hāi sin-thé. ,抽煙不但浪費錢，還會損害身體。
我這禮拜為著伊的代誌，無眠閣損神。,"Guá tsit lé-pài uī-tio̍h i ê tāi-tsì, bô-bîn koh sńg-sîn. ",我這禮拜為了他的事，失眠又傷神。
去共人客斟茶。,Khì kā lâng-kheh thîn tê. ,去幫客人倒茶。
這件代誌你愛想予斟酌。,Tsit kiānn tāi-tsì lí ài siūnn hōo tsim-tsiok. ,這件事你要想清楚。
這件代誌請逐家斟酌一下，毋通凊彩就決定。,"Tsit kiānn tāi-tsì tshiánn ta̍k-ke tsim-tsiok--tsi̍t-ē, m̄-thang tshìn-tshái tō kuat-tīng. ",這件事請大家詳細考慮一下，不要隨便就決定。
伊萬項代誌攏欲搢做前。,I bān-hāng tāi-tsì lóng beh tsìnn-tsò-tsîng. ,他不論做什麼事情都要搶第一。
這塊桌仔毋通搬徙。,Tsit tè toh-á m̄-thang puann-suá. ,這張桌子不要移動。
伊講白賊去予阿母搧喙䫌。,I kóng-pe̍h-tsha̍t khì hōo a-bú siàn-tshuì-phué. ,他說謊被媽媽打耳光。
伊定定來遮，我不時佇路裡搪著。,"I tiānn-tiānn lâi tsia, guá put-sî tī lōo--lí  tn̄g--tio̍h. ",他常來這裡，我也常在路上遇到他。
這擺的地動佳哉攏無造成損傷。,Tsit pái ê tē-tāng ka-tsài lóng bô tsō-sîng sún-siong. ,這次的地震幸好都沒有造成損傷。
為著一屑仔錢佇街仔路搝搝搦搦，敢會看口得？,"Uī-tio̍h tsi̍t-sut-á tsînn tī ke-á-lōo khiú-khiú-la̍k-la̍k, kám ē khuànn-kháu--tit? ",為了一點點錢在街道上拉拉扯扯，難道不羞恥嗎？
你毋通烏白搬話，害人拍歹感情。,"Lí m̄-thang oo-pe̍h puann-uē, hāi lâng phah-pháinn kám-tsîng. ",你不要胡亂搬弄是非，害別人傷了感情。
這个問題真專業，愛搬請專家來提供意見。,"Tsit ê būn-tê tsin tsuan-gia̍p, ài puann-tshiánn tsuan-ka lâi thê-kiong ì-kiàn. ",這個問題很專業，要請專家來提供意見。
新興的行業,sin-hing ê hâng-gia̍p,新興的行業
山頂彼陣猴定定落山來損蕩人的果子園。,Suann-tíng hit tīn kâu tiānn-tiānn lo̍h suann lâi sńg-tn̄g lâng ê kué-tsí-hn̂g. ,山上那群猴子常常下山來破壞人家的果園。
伊半暝就去排隊，想欲搶頭香買著上新型的手機仔。,"I puànn-mê tō khì pâi-tuī, siūnn beh tshiúnn-thâu-hiunn bé-tio̍h siōng sin-hîng ê tshiú-ki-á. ",他半夜就去排隊，想要拔得頭籌買到最新型的手機。
買彩券摃龜的比著獎的較濟。,Bé tshái-kǹg kòng-ku--ê pí tio̍h-tsióng--ê khah tsē. ,買彩券未中獎的比中獎的多。
囡仔若搭嚇就會吼袂煞。,Gín-á nā tah-hiannh tō ē háu bē suah. ,小孩子若受到驚嚇就會哭個不停。
戲班咧搬戲。,Hì-pan teh puann-hì. ,戲班在演戲。
伊閣咧搬戲矣，你毋通予伊騙去！,"I koh teh puann-hì--ah, lí m̄-thang hōo i  phiàn--khì! ",他又在裝模作樣了，別被他騙了！
伊穿一軀新點點的洋裝來食喜酒。,I tshīng tsi̍t su sin-tiám-tiám ê iûnn-tsong lâi tsia̍h hí-tsiú. ,她穿一套嶄新的洋裝來喝喜酒。
校長兼摃鐘。,Hāu-tiúnn kiam kòng-tsing. ,校長也要當，敲鐘的工友也得做。形容單位小員工少，主管也要兼做打雜的工作。
若予伊搦權，咱就無伊法。,"Nā hōo i la̍k-khuân, lán tō bô-i-huat. ",若被他掌權，我們就拿他沒轍。
遮傷暗,tsia siunn àm,這裡太暗
較暗我就會轉去。,Khah àm guá tō ē tńg--khì. ,晚點我就會回去。
暗步,àm-pōo,不光明的手段
暗號,àm-hō,暗號
蹛一暗,tuà tsi̍t àm,住一個晚上
錢去予伊暗去。,Tsînn khì hōo i àm--khì. ,錢被他私吞。
伊會食會睏，你免煩惱。,"I ē tsia̍h ē khùn, lí bián huân-ló. ",他能吃能睡，你別擔心。
無穿衫會感冒。,Bô tshīng sann ē kám-mōo. ,沒穿衣服會感冒。
伊會來。,I ē lâi. ,他會來的。
基金會,ki-kim huē,基金會
委員會,uí-uân huē,委員會
開會,khui-huē,開會
舞會,bú-huē,舞會
會頭,huē-thâu,互助會的會首
會跤,huē-kha,互助會的成員
會面,huē-bīn,會面
會談,huē-tâm,會談
會失禮,huē sit-lé,賠禮
會毋著,huē m̄-tio̍h,賠錯
逐家攏咧會，你敢攏毋知？,"Ta̍k-ke lóng teh huē, lí kám lóng m̄-tsai? ",大家都在談論，難道你都不知道嗎？
對窗仔縫楔物件入去。,Tuì thang-á-phāng seh mi̍h-kiānn ji̍p--khì. ,從窗子縫隙塞東西進去。
你去提杉仔柴來共門小楗一下。,Lí khì the̍h sam-á-tshâ lâi kā mn̂g sió kīng--tsi̍t-ē. ,你去拿杉木塊來把門稍微撐一下。
頭楞楞,thâu gông-gông,頭暈暈的
鞋楦,ê-hùn,鞋模
用鞋楦楦鞋。,Īng ê-hùn hùn ê. ,用鞋模把鞋撐大。
粒仔咧楦膿。,Lia̍p-á teh hùn lâng. ,膿瘡在化膿。
隔壁的地界一直楦過來。,Keh-piah ê tē-kài it-ti̍t hùn--kuè-lâi. ,隔壁的地界一直擴張過來。
這條路拄咧楦闊。,Tsit tiâu lōo tú teh hùn-khuah. ,這條路正在拓寬中。
工業,kang-gia̍p,工業
商業,siong-gia̍p,商業
事業,sū-gia̍p,事業
業務,gia̍p-bū,業務
你真業。,Lí tsin gia̍p. ,你真勞碌。
業命,gia̍p-miā,勞碌命
暗中探聽伊的消息。,Àm-tiong thàm-thiann i ê siau-sit. ,暗中打聽他的消息。
你遮的錢，閣無夠我楔手縫。,"Lí tsia-ê tsînn, koh bô-kàu guá seh-tshiú-phāng. ",你這些錢，還不夠我塞手指縫。
標會仔,pio huē-á,發起互助會
綴會仔,tuè huē-á,加入互助會
伊共你𥍉目，就是暗示你毋通加講話。,"I kā lí nih-ba̍k, tō sī àm-sī lí m̄-thang ke kóng-uē. ",他向你眨眼，就是暗示你不要多話。
功課寫完，咱就會用得看電視。,"Kong-khò siá uân, lán tō ē-īng-tit khuànn tiān-sī. ",功課寫完，我們就可以看電視。
你這隻暗光鳥，三更半暝矣猶毋睏。,"Lí tsit tsiah àm-kong-tsiáu, sann-kenn-puànn-mê--ah iáu m̄ khùn. ",你這個夜貓子，三更半夜了還不睡。
我約伊今仔日中晝佇公園會合，做伙去看櫻花。,"Guá iok i kin-á-ji̍t tiong-tàu tī kong-hn̂g huē-ha̍p, tsò-hué khì khuànn ing-hue. ",我約他今天中午在公園會合，要一起去賞櫻。
你毋通使暗行害人。,Lí m̄-thang sái àm-hīng hāi--lâng. ,你不要耍陰險害人。
伊定定用暗步欲陷害人。,I tiānn-tiānn iōng àm-pōo beh hām-hāi--lâng. ,他常耍詭計要陷害人。
我功課若寫好就會使去看電影矣。,Guá kong-khò nā siá hó tō ē-sái khì khuànn tiān-iánn--ah. ,我功課如果寫好就可以去看電影了。
這項物件閣會使得用，毋通擲掉。,"Tsit hāng mi̍h-kiānn koh ē-sái-tit īng, m̄-thang tàn tiāu. ",這個東西還可以使用，不要丟掉。
伊提錢欲共警察楔空，警察顛倒共罰較濟錢。,"I the̍h tsînn beh kā kíng-tshat seh-khang, kíng-tshat tian-tò kā hua̍t khah tsē tsînn. ",他拿錢要向警察行賄，警察反而罰他更多錢。
伊暗崁足濟外路仔做私奇，無予𪜶某知。," I àm-khàm tsiok tsē guā-lōo-á tsò sai-khia, bô hōo in bóo tsai. ",他私藏很多外快當私房錢，沒讓他太太知道。
暗時你莫佇外口拋拋走。,Àm-sî lí mài tī guā-kháu pha-pha-tsáu. ,晚上你不要在外面四處亂跑。
